datetime_he,pool_price,demand_mw,demand_24h_avg,gas_price,temperature_c,wind_speed_mps,hdd,spark_spread
2026-05-23 01:00:00,26.66,9256.0,9256.0,2.92,10.8,2.9,7.2,4.76
2026-05-23 02:00:00,24.72,9129.0,9192.5,2.92,9.8,5.0,8.2,2.82
2026-05-23 03:00:00,17.26,9014.0,9133.0,2.92,8.4,7.9,9.6,-4.64
2026-05-23 04:00:00,17.94,8976.0,9093.75,2.92,7.4,7.3,10.6,-3.96
2026-05-23 05:00:00,24.77,8985.0,9072.0,2.92,6.7,7.5,11.3,2.87
2026-05-23 06:00:00,28.55,8971.0,9055.17,2.92,5.8,8.0,12.2,6.65
2026-05-23 07:00:00,22.09,9042.0,9053.29,2.92,6.8,9.3,11.2,0.19
2026-05-23 08:00:00,16.55,9228.0,9075.12,2.92,9.8,8.8,8.2,-5.35
2026-05-23 09:00:00,20.23,9419.0,9113.33,2.92,13.3,4.3,4.7,-1.67
2026-05-23 10:00:00,20.01,9628.0,9164.8,2.92,16.4,3.7,1.6,-1.89
2026-05-23 11:00:00,19.01,9742.0,9217.27,2.92,18.5,6.8,0.0,-2.89
2026-05-23 12:00:00,11.93,9816.0,9267.17,2.92,19.6,8.1,0.0,-9.97
2026-05-23 13:00:00,6.49,9897.0,9315.62,2.92,20.6,7.7,0.0,-15.41
2026-05-23 14:00:00,2.84,9942.0,9360.36,2.92,20.2,11.9,0.0,-19.06
2026-05-23 15:00:00,1.22,9906.0,9396.73,2.92,20.2,6.0,0.0,-20.68
2026-05-23 16:00:00,0.52,9990.0,9433.81,2.92,21.9,9.9,0.0,-21.38
2026-05-23 17:00:00,4.28,10177.0,9477.53,2.92,21.8,14.6,0.0,-17.62
2026-05-23 18:00:00,0.16,10243.0,9520.06,2.92,22.2,11.8,0.0,-21.74
2026-05-23 19:00:00,9.96,10193.0,9555.47,2.92,22.1,12.2,0.0,-11.94
2026-05-23 20:00:00,13.96,10140.0,9584.7,2.92,21.4,10.5,0.0,-7.94
