datetime_he,pool_price,demand_mw,demand_24h_avg,gas_price,temperature_c,wind_speed_mps,hdd,spark_spread
2026-04-23 01:00:00,0.0,9892.0,9892.0,2.65,1.5,16.4,16.5,-19.875
2026-04-23 02:00:00,0.0,9789.0,9840.5,2.65,0.8,18.3,17.2,-19.875
2026-04-23 03:00:00,0.0,9669.0,9783.33,2.65,0.6,16.3,17.4,-19.875
2026-04-23 04:00:00,0.0,9611.0,9740.25,2.65,0.4,20.6,17.6,-19.875
2026-04-23 05:00:00,0.0,9679.0,9728.0,2.65,-0.3,24.2,18.3,-19.875
2026-04-23 06:00:00,3.18,9909.0,9758.17,2.65,-0.9,20.1,18.9,-16.695
2026-04-23 07:00:00,7.11,10182.0,9818.71,2.65,-1.7,17.6,19.7,-12.765
2026-04-23 08:00:00,2.68,10538.0,9908.62,2.65,-1.4,19.4,19.4,-17.195
2026-04-23 09:00:00,0.01,10738.0,10000.78,2.65,-0.2,27.2,18.2,-19.865
2026-04-23 10:00:00,0.0,10838.0,10084.5,2.65,0.8,29.1,17.2,-19.875
2026-04-23 11:00:00,0.0,10849.0,10154.0,2.65,1.4,27.7,16.6,-19.875
2026-04-23 12:00:00,0.0,10882.0,10214.67,2.65,2.6,28.3,15.4,-19.875
2026-04-23 13:00:00,0.0,10825.0,10261.62,2.65,4.0,30.8,14.0,-19.875
2026-04-23 14:00:00,0.0,10772.0,10298.07,2.65,3.9,30.4,14.1,-19.875
2026-04-23 15:00:00,0.0,10796.0,10331.27,2.65,4.0,30.8,14.0,-19.875
2026-04-23 16:00:00,0.0,10801.0,10360.62,2.65,3.7,24.5,14.3,-19.875
2026-04-23 17:00:00,0.0,10916.0,10393.29,2.65,3.5,24.8,14.5,-19.875
2026-04-23 18:00:00,0.0,10919.0,10422.5,2.65,2.2,28.6,15.8,-19.875
2026-04-23 19:00:00,0.0,10817.0,10443.26,2.65,1.4,28.6,16.6,-19.875
2026-04-23 20:00:00,8.52,10729.0,10457.55,2.65,1.0,26.0,17.0,-11.355
2026-04-23 21:00:00,15.21,10741.0,10471.05,2.65,0.1,24.8,17.9,-4.665
2026-04-23 22:00:00,21.22,10756.0,10484.0,2.65,-0.8,23.4,18.8,1.345
2026-04-23 23:00:00,10.57,10518.0,10485.48,2.65,-1.6,25.0,19.6,-9.305
2026-04-24 01:00:00,0.95,9957.0,10463.46,2.54,-2.1,21.3,20.1,-18.1
2026-04-24 02:00:00,7.74,9864.0,10462.29,2.54,-2.2,23.6,20.2,-11.31
2026-04-24 03:00:00,8.36,9775.0,10461.71,2.54,-2.1,23.7,20.1,-10.69
2026-04-24 04:00:00,8.66,9781.0,10466.38,2.54,-2.5,27.4,20.5,-10.39
2026-04-24 05:00:00,0.46,9820.0,10475.08,2.54,-2.9,28.3,20.9,-18.59
2026-04-24 06:00:00,5.32,9990.0,10488.04,2.54,-2.9,24.9,20.9,-13.73
2026-04-24 07:00:00,16.7,10339.0,10505.96,2.54,-3.0,23.7,21.0,-2.35
2026-04-24 08:00:00,17.85,10701.0,10527.58,2.54,-2.7,21.3,20.7,-1.2
2026-04-24 09:00:00,16.16,10901.0,10542.71,2.54,-2.5,29.5,20.5,-2.89
2026-04-24 10:00:00,4.02,10949.0,10551.5,2.54,-2.3,37.5,20.3,-15.03
2026-04-24 11:00:00,3.42,11003.0,10558.38,2.54,-2.1,38.2,20.1,-15.63
2026-04-24 12:00:00,2.14,11074.0,10567.75,2.54,-0.8,36.1,18.8,-16.91
2026-04-24 13:00:00,0.0,11004.0,10572.83,2.54,-0.4,31.9,18.4,-19.05
2026-04-24 14:00:00,0.0,10948.0,10577.96,2.54,0.3,34.1,17.7,-19.05
2026-04-24 15:00:00,1.74,10852.0,10581.29,2.54,0.9,35.1,17.1,-17.31
2026-04-24 16:00:00,9.13,10876.0,10584.62,2.54,0.7,30.1,17.3,-9.92
2026-04-24 17:00:00,10.19,10969.0,10591.62,2.54,0.8,31.0,17.2,-8.86
2026-04-24 18:00:00,17.4,10942.0,10592.71,2.54,0.3,26.2,17.7,-1.65
2026-04-24 19:00:00,14.5,10821.0,10588.62,2.54,-0.1,21.9,18.1,-4.55
2026-04-24 20:00:00,9.76,10757.0,10586.12,2.54,-0.6,19.3,18.6,-9.29
2026-04-24 21:00:00,13.33,10682.0,10584.17,2.54,-1.4,19.7,19.4,-5.72
2026-04-24 22:00:00,18.45,10685.0,10581.83,2.54,-2.2,20.6,20.2,-0.6
2026-04-24 23:00:00,20.9,10430.0,10568.25,2.54,-2.4,22.1,20.4,1.85
2026-04-25 01:00:00,12.62,9905.0,10542.71,2.54,-3.7,19.3,21.7,-6.43
2026-04-25 02:00:00,11.58,9783.0,10535.46,2.54,-4.5,16.3,22.5,-7.47
2026-04-25 03:00:00,8.43,9779.0,10531.92,2.54,-4.6,15.3,22.6,-10.62
2026-04-25 04:00:00,8.44,9741.0,10530.5,2.54,-4.8,13.1,22.8,-10.61
2026-04-25 05:00:00,8.23,9728.0,10528.29,2.54,-5.0,11.0,23.0,-10.82
2026-04-25 06:00:00,7.67,9769.0,10526.17,2.54,-4.9,7.9,22.9,-11.38
2026-04-25 07:00:00,0.47,9856.0,10520.58,2.54,-4.9,4.0,22.9,-18.58
2026-04-25 08:00:00,0.0,10000.0,10506.46,2.54,-4.4,3.6,22.4,-19.05
2026-04-25 09:00:00,3.98,10197.0,10485.46,2.54,-3.7,8.7,21.7,-15.07
2026-04-25 10:00:00,0.0,10327.0,10461.54,2.54,-3.5,19.1,21.5,-19.05
2026-04-25 11:00:00,0.0,10452.0,10440.83,2.54,-3.4,20.1,21.4,-19.05
2026-04-25 12:00:00,0.0,10462.0,10418.29,2.54,-2.6,18.7,20.6,-19.05
2026-04-25 13:00:00,0.0,10415.0,10390.83,2.54,-2.4,16.5,20.4,-19.05
2026-04-25 14:00:00,0.0,10306.0,10361.75,2.54,-1.9,13.6,19.9,-19.05
2026-04-25 15:00:00,0.84,10218.0,10331.33,2.54,-1.4,13.1,19.4,-18.21
